floor,cluster_id,cluster_type,input_rows,ransac_rows_used,ransac_warning,max_score,peak_index,peak_lat,peak_lon,peak_value,participating_cells,sum_w,sum_w_d2,weighted_sigma_m,alpha,raw_alpha_sigma_radius_m,grid_resolution_m,pre_merge_radius_m,max_participating_distance_m,min_participating_w,max_participating_w,merged_region_count,merged_regions_json
0.9,40:aa:56:7b:9b:33,static,11,10,RANSAC removed 1 outlier samples from cluster,9.014664986790791,1,31.24987221401106,34.806375339641036,1.0,35,33.13854301804932,896.8002676772413,5.202129504376669,2.0,10.404259008753337,2.0,10.404,8.919859476498726,0.9024671277573159,1.0,1,"[{""center_lat"":31.24986317802212,""center_lon"":34.80646957827452,""radius_m"":47.88068193931193}]"
0.9,40:aa:56:7b:9b:33,static,11,10,RANSAC removed 1 outlier samples from cluster,9.014664986790791,2,31.249854142033183,34.80656381690801,0.7474095227640897,35,33.13854301804932,12514.403667028853,19.43293395635748,2.0,38.86586791271496,2.0,38.866,25.958052592961348,0.9024671277573159,1.0,1,"[{""center_lat"":31.24986317802212,""center_lon"":34.80646957827452,""radius_m"":47.88068193931193}]"
0.9,40:ae:30:e2:cc:aa,static,92,76,RANSAC removed 16 outlier samples from cluster,71.58386986210809,1,31.24989028598894,34.80614497853695,1.0,229,216.60711233724098,105949.64536382107,22.11634710486377,2.0,44.23269420972754,2.0,44.233,42.62027950771558,0.9007127234694211,1.0,1,"[{""center_lat"":31.24989028598894,""center_lon"":34.80614497853695,""radius_m"":44.233}]"
0.9,41,dynamic,5,5,RANSAC found no valid inlier set for cluster; using all 5 samples,4.843932867296943,1,31.249510774453487,34.805977443188524,1.0,207,194.29357069298104,200226.56638544373,32.10196634199957,2.0,64.20393268399914,2.0,64.204,50.57282770589626,0.9001317119618906,1.0,1,"[{""center_lat"":31.249650832282043,""center_lon"":34.80614497853695,""radius_m"":88.0913933197191}]"
0.9,41,dynamic,5,5,RANSAC found no valid inlier set for cluster; using all 5 samples,4.843932867296943,2,31.249492702475607,34.80601932702563,0.9993259513605397,207,194.29357069298104,187802.4874256931,31.09005248552846,2.0,62.18010497105692,2.0,62.18,50.25100496921122,0.9001317119618906,1.0,1,"[{""center_lat"":31.249650832282043,""center_lon"":34.80614497853695,""radius_m"":88.0913933197191}]"
0.9,41,dynamic,5,5,RANSAC found no valid inlier set for cluster; using all 5 samples,4.843932867296943,3,31.249799926099545,34.806291571966824,0.9600895771084249,207,194.29357069298104,186685.52354863274,30.99745985145024,2.0,61.99491970290048,2.0,61.995,52.46248823080794,0.9001317119618906,1.0,1,"[{""center_lat"":31.249650832282043,""center_lon"":34.80614497853695,""radius_m"":88.0913933197191}]"
0.9,42,dynamic,125,102,RANSAC removed 23 outlier samples from cluster,98.05399720658632,1,31.249854142033183,34.80627063004827,1.0,56,53.103006232629895,2053.9573234131403,6.219223351706398,2.0,12.438446703412795,2.0,12.438,10.154719670482994,0.9013019831955197,1.0,1,"[{""center_lat"":31.249677940248866,""center_lon"":34.80642769443742,""radius_m"":100.97551839366753}]"
0.9,42,dynamic,125,102,RANSAC removed 23 outlier samples from cluster,98.05399720658632,2,31.249546918409244,34.80635439772248,0.8619280751620183,56,53.103006232629895,69210.95210176492,36.10171703942708,2.0,72.20343407885416,2.0,72.203,43.857671836683586,0.9013019831955197,1.0,1,"[{""center_lat"":31.249677940248866,""center_lon"":34.80642769443742,""radius_m"":100.97551839366753}]"
0.9,42,dynamic,125,102,RANSAC removed 23 outlier samples from cluster,98.05399720658632,3,31.249655350276516,34.80654287498946,0.8386088186023939,56,53.103006232629895,66573.88849348444,35.40726718901718,2.0,70.81453437803437,2.0,70.815,44.0095936792563,0.9013019831955197,1.0,1,"[{""center_lat"":31.249677940248866,""center_lon"":34.80642769443742,""radius_m"":100.97551839366753}]"
0.9,44,dynamic,223,188,RANSAC removed 35 outlier samples from cluster,163.62871108815406,1,31.249908357966817,34.80631251388537,1.0,70,66.31719798598685,3310.781525398321,7.065650923474252,2.0,14.131301846948505,2.0,14.131,12.697472953275842,0.9001192332207543,1.0,1,"[{""center_lat"":31.24988125,""center_lon"":34.8064800492338,""radius_m"":83.18097925654698}]"
0.9,44,dynamic,223,188,RANSAC removed 35 outlier samples from cluster,163.62871108815406,2,31.249854142033183,34.80664758458222,0.8546830261891951,70,66.31719798598685,74362.31559665037,33.486007360392456,2.0,66.97201472078491,2.0,66.972,40.26941422650712,0.9001192332207543,1.0,1,"[{""center_lat"":31.24988125,""center_lon"":34.8064800492338,""radius_m"":83.18097925654698}]"
0.9,45,dynamic,3,3,RANSAC found no valid inlier set for cluster; using all 3 samples,2.977675579181292,1,31.249926429944697,34.80608215278129,1.0,151,142.24403147183364,80055.08914537703,23.723428127142228,2.0,47.446856254284455,2.0,47.447,38.9013196191804,0.9012351869275685,1.0,1,"[{""center_lat"":31.249799926099545,""center_lon"":34.805987914147806,""radius_m"":67.28804706123765}]"
0.9,45,dynamic,3,3,RANSAC found no valid inlier set for cluster; using all 3 samples,2.977675579181292,2,31.249673422254393,34.80589367551431,0.9687801349805933,151,142.24403147183364,91087.92869517532,25.305410512914683,2.0,50.61082102582937,2.0,50.611,38.901314900350314,0.9012351869275685,1.0,1,"[{""center_lat"":31.249799926099545,""center_lon"":34.805987914147806,""radius_m"":67.28804706123765}]"
0.9,46,dynamic,67,54,RANSAC removed 13 outlier samples from cluster,48.72443246556758,1,31.249817998077425,34.80604026894419,1.0,455,426.6905392013021,480828.3268460194,33.56900863579611,2.0,67.13801727159222,2.0,67.138,56.51209359813021,0.9000509149282031,1.0,1,"[{""center_lat"":31.25015684766265,""center_lon"":34.80599838510708,""radius_m"":133.6213755020305}]"
0.9,46,dynamic,67,54,RANSAC removed 13 outlier samples from cluster,48.72443246556758,2,31.250269797524393,34.80620780429261,0.9610555471731334,455,426.6905392013021,862862.7128382766,44.969115372630306,2.0,89.93823074526061,2.0,89.938,63.48736237709428,0.9000509149282031,1.0,1,"[{""center_lat"":31.25015684766265,""center_lon"":34.80599838510708,""radius_m"":133.6213755020305}]"
0.9,46,dynamic,67,54,RANSAC removed 13 outlier samples from cluster,48.72443246556758,3,31.250269797524393,34.80587273359576,0.9328693357011512,455,426.6905392013021,930812.6265529771,46.706209838751064,2.0,93.41241967750213,2.0,93.412,65.6056836459642,0.9000509149282031,1.0,1,"[{""center_lat"":31.25015684766265,""center_lon"":34.80599838510708,""radius_m"":133.6213755020305}]"
0.9,47,dynamic,284,226,RANSAC removed 58 outlier samples from cluster,197.4635711698565,1,31.249854142033183,34.80614497853695,1.0,91,86.1987539694041,6096.373320180767,8.409792549955695,2.0,16.81958509991139,2.0,16.82,14.503437432079702,0.9002400505231369,1.0,1,"[{""center_lat"":31.249786372116137,""center_lon"":34.806181626894414,""radius_m"":125.43747750253294}]"
0.9,47,dynamic,284,226,RANSAC removed 58 outlier samples from cluster,197.4635711698565,2,31.250197509612878,34.8061240366184,0.7470691552182666,91,86.1987539694041,135587.2870048331,39.660573642511004,2.0,79.32114728502201,2.0,79.321,46.89975425455805,0.9002400505231369,1.0,1,"[{""center_lat"":31.249786372116137,""center_lon"":34.806181626894414,""radius_m"":125.43747750253294}]"
0.9,47,dynamic,284,226,RANSAC removed 58 outlier samples from cluster,197.4635711698565,3,31.249546918409244,34.80622874621116,0.5779048703528824,91,86.1987539694041,108741.60191692869,35.51790728567395,2.0,71.0358145713479,2.0,71.036,42.175694011669954,0.9002400505231369,1.0,1,"[{""center_lat"":31.249786372116137,""center_lon"":34.806181626894414,""radius_m"":125.43747750253294}]"
0.9,48,dynamic,11,9,RANSAC removed 2 outlier samples from cluster,8.04592247647459,1,31.24987221401106,34.80620780429261,1.0,93,88.30027811041943,5584.416616107517,7.952576758159791,2.0,15.905153516319581,2.0,15.905,12.69747486496221,0.9016127906014321,1.0,1,"[{""center_lat"":31.25000775384515,""center_lon"":34.80606644634238,""radius_m"":92.33367695839885}]"
0.9,48,dynamic,11,9,RANSAC removed 2 outlier samples from cluster,8.04592247647459,2,31.250125221701364,34.80627063004827,0.8980923787179887,93,88.30027811041943,83489.87143914976,30.749344380599243,2.0,61.49868876119849,2.0,61.499,40.97153907519483,0.9016127906014321,1.0,1,"[{""center_lat"":31.25000775384515,""center_lon"":34.80606644634238,""radius_m"":92.33367695839885}]"
0.9,48,dynamic,11,9,RANSAC removed 2 outlier samples from cluster,8.04592247647459,3,31.25001678983409,34.80589367551431,0.7273369965775439,93,88.30027811041943,109234.54304747394,35.172153707224105,2.0,70.34430741444821,2.0,70.344,44.857649211883384,0.9016127906014321,1.0,1,"[{""center_lat"":31.25000775384515,""center_lon"":34.80606644634238,""radius_m"":92.33367695839885}]"
0.9,48:55:19:df:45:45,static,10,8,RANSAC removed 2 outlier samples from cluster,7.581450326027709,1,31.249854142033183,34.806186862374055,1.0,94,89.24339979200982,5705.263110250922,7.995576547767291,2.0,15.991153095534582,2.0,15.991,12.697475103922635,0.9004539905456891,1.0,1,"[{""center_lat"":31.249808962088487,""center_lon"":34.805987914147806,""radius_m"":100.6362977308764}]"
0.9,48:55:19:df:45:45,static,10,8,RANSAC removed 2 outlier samples from cluster,7.581450326027709,2,31.249763782143788,34.80578896592155,0.8300378581297138,94,89.24339979200982,146629.1100804473,40.53424106843209,2.0,81.06848213686418,2.0,81.068,48.52812582956472,0.9004539905456891,1.0,1,"[{""center_lat"":31.249808962088487,""center_lon"":34.805987914147806,""radius_m"":100.6362977308764}]"
0.9,48:55:19:f9:f0:2b,static,6,5,RANSAC removed 1 outlier samples from cluster,4.733188858504243,1,31.24989028598894,34.80622874621116,1.0,105,99.6138170254277,7827.946270750106,8.864701722544524,2.0,17.729403445089048,2.0,17.729,15.281941369664208,0.9024934164064335,1.0,1,"[{""center_lat"":31.249908357966817,""center_lon"":34.80646957827452,""radius_m"":117.38498977648342}]"
0.9,48:55:19:f9:f0:2b,static,6,5,RANSAC removed 1 outlier samples from cluster,4.733188858504243,2,31.249926429944697,34.806710410337885,0.7016313396984086,105,99.6138170254277,221939.5541445643,47.20169167465062,2.0,94.40338334930124,2.0,94.403,55.886531548337544,0.9024934164064335,1.0,1,"[{""center_lat"":31.249908357966817,""center_lon"":34.80646957827452,""radius_m"":117.38498977648342}]"
0.9,48:55:19:fd:70:7f,static,9,8,RANSAC removed 1 outlier samples from cluster,7.341594051847199,1,31.249817998077425,34.80622874621116,1.0,72,68.28885994558371,3361.178499566708,7.015697535239772,2.0,14.031395070479544,2.0,14.031,11.688556654842296,0.9008931609661281,1.0,1,"[{""center_lat"":31.249808962088487,""center_lon"":34.80640675251887,""radius_m"":87.41844887197504}]"
0.9,48:55:19:fd:70:7f,static,9,8,RANSAC removed 1 outlier samples from cluster,7.341594051847199,2,31.249799926099545,34.80658475882657,0.8165840801403481,72,68.28885994558371,84774.95404204591,35.23374852426721,2.0,70.46749704853443,2.0,70.467,44.2101486422628,0.9008931609661281,1.0,1,"[{""center_lat"":31.249808962088487,""center_lon"":34.80640675251887,""radius_m"":87.41844887197504}]"
0.9,50:2c:c6:2f:45:61,static,145,130,RANSAC removed 15 outlier samples from cluster,115.7983480606274,1,31.249908357966817,34.806165920455506,1.0,195,184.91873448380684,35229.25939662178,13.802612651639247,2.0,27.605225303278495,2.0,27.605,24.454269820780635,0.9000703143515246,1.0,1,"[{""center_lat"":31.249908357966817,""center_lon"":34.806165920455506,""radius_m"":27.605}]"
0.9,51,dynamic,455,360,RANSAC removed 95 outlier samples from cluster,302.48146010118916,1,31.24999871785621,34.805977443188524,1.0,21,19.907176603963308,412.58880531502876,4.552541206899408,2.0,9.105082413798817,2.0,9.105,8.485990970208043,0.9005493256446206,1.0,1,"[{""center_lat"":31.250061969778788,""center_lon"":34.80604026894419,""radius_m"":47.51091323522873}]"
0.9,51,dynamic,455,360,RANSAC removed 95 outlier samples from cluster,302.48146010118916,2,31.250125221701364,34.80610309469984,0.6381851208184516,21,19.907176603963308,7294.388984215174,19.1421019472868,2.0,38.2842038945736,2.0,38.284,22.425293351542468,0.9005493256446206,1.0,1,"[{""center_lat"":31.250061969778788,""center_lon"":34.80604026894419,""radius_m"":47.51091323522873}]"
0.9,53,dynamic,86,70,RANSAC removed 16 outlier samples from cluster,67.0522601329229,1,31.249836070055302,34.80620780429261,1.0,286,269.3221080324443,288404.81575869175,32.72391466010725,2.0,65.4478293202145,2.0,65.448,51.08720161145593,0.9000787197988868,1.0,1,"[{""center_lat"":31.249682458243335,""center_lon"":34.80607691730165,""radius_m"":102.24920039033653}]"
